Restaurant,Section,Item,Description,Price
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz stoli mule must be 0 to purchase,must be 0 to purchase absolut vodka ginger beer mint sweetened lime juice,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz bacardi dark and stormy must be 0 to purchase,must be 0 to purchase bacardi dark ginger beer bitters,$9.99 
bel aire restaurant diner,cocktails must be 0 to purchase,0 oz fresh brewed espresso martini must be 0 to purchase,must be 0 to purchase absolut vodka espresso kahlua simple syrup,$10.99 
bel aire restaurant diner,cocktails must be 0 to purchase,buzz ballz,ready to drink cocktails made with 0% juices and premium or imported spirits 0% abv,$6.00 
bel aire restaurant diner,cocktails must be 0 to purchase,mionetto prosecco,brut italian sparkling wine,$11.00 
bel aire restaurant diner,egg specialties,0 eggs any style specialty,served with choice of toast and side,$7.19 
bel aire restaurant diner,egg specialties,tex mex breakfast specialty,quesadilla stuffed with eggs jalapenos sausage and cheddar cheese served with guacamole and home fries,$12.79 
bel aire restaurant diner,egg specialties,greek breakfast specialty,0 eggs any style grilled tomatoes feta cheese olives and toasted pita bread drizzled with olive oil,$10.49 
bel aire restaurant diner,egg specialties,eggs benedict specialty,0 poached eggs served over canadian bacon toasted english muffin and topped with hollandaise sauce choice of side,$11.59 
bel aire restaurant diner,egg specialties,steak and eggs specialty,your choice of steak served with 0 eggs and home fries served with choice of roast and side,$22.59 
bel aire restaurant diner,egg specialties,breakfast burrito,stuffed with rice black beans avocado tomatoes cheddar cheese cilantro and jalapenos served with sour cream,$14.79 
bel aire restaurant diner,egg specialties,keto breakfast platter,0 scrambled eggs mixed with cream cheese served with bacon and fresh spinach on the side gluten free,$12.99 
bel aire restaurant diner,egg specialties,hash and eggs,0 eggs any style over corned beef hash served with choice of toast and side,$11.59 
bel aire restaurant diner,egg specialties,eggs florentine,0 poached eggs over spinach pie filling on toasted english with hollandaise sauce choice of side,$11.59 
bel aire restaurant diner,egg specialties,english breakfast,0 eggs any style with back bacon baked beans blood pudding roasted tomatoes and mushrooms served with choice of toast,$16.79 
bel aire restaurant diner,egg specialties,huevos rancheros specialty,0 eggs any style served over corn tortilla chips topped with refried beans diced sausages homemade salsa and guacamole,$13.49 
bel aire restaurant diner,egg specialties,irish breakfast specialty,0 eggs any style with black and white pudding irish banger sausage irish bacon baked beans and steak fries served with choice of toast,$16.79 
bel aire restaurant diner,egg specialties,carnitas and huevos,slow roasted pork shoulder 0 eggs topped with grilled peppers and onions served with choice of toast and side,$13.99 
bel aire restaurant diner,0 egg omelettes,rolled omelette,a lightly done plain 0 egg omelet stuffed and covered with your choice of mix ins not served with a side,$12.99 
bel aire restaurant diner,0 egg omelettes,athenian omelette,spinach feta and onions,$12.19 
bel aire restaurant diner,0 egg omelettes,cobb omelette,avocado bacon and cheddar cheese,$12.99 
bel aire restaurant diner,0 egg omelettes,farmer s omelette,ham bacon and sausage,$13.49 
bel aire restaurant diner,0 egg omelettes,mexican omelette,cheddar cheese and jalapeno peppers,$11.49 
bel aire restaurant diner,0 egg omelettes,spanish omelette,topped and stuffed with salsa,$11.49 
bel aire restaurant diner,0 egg omelettes,western omelette,ham pepper and onions,$11.99 
bel aire restaurant diner,0 egg omelettes,greek omelette,tomatoes feta cheese and onions,$12.19 
bel aire restaurant diner,0 egg omelettes,cheese omelette,served with your choice of cheese,$11.49 
bel aire restaurant diner,0 egg omelettes,super omelette,mushrooms bacon tomatoes peppers onions and mozzarella cheese,$15.39 
bel aire restaurant diner,0 egg omelettes,the astorian omelette,charred beef sausage fresh herbs tomatoes mixed with 0 eggs topped with hollandaise sauce over a toasted roll with steak fries,$15.79 
bel aire restaurant diner,0 egg omelettes,build your own omelette,build it how you like,$10.99 
bel aire restaurant diner,0 egg omelettes,leo omelette,nova scotia lox and onions,$17.39 
bel aire restaurant diner,0 egg omelettes,bel aire turkey omelette,0 egg whites stuffed with choice of turkey,$14.39 
bel aire restaurant diner,0 egg omelettes,bel aire chicken omelet,0 egg whites stuffed with grilled chicken,$14.39 
bel aire restaurant diner,0 egg omelettes,flank steak philly omelette,flank steak onions mushrooms and cheddar cheese,$18.89 
bel aire restaurant diner,0 egg omelettes,garden omelette,broccoli mushrooms onions and tomatoes,$11.89 
bel aire restaurant diner,0 egg omelettes,portobello omelette,grilled portobello mushrooms red peppers and mozzarella cheese,$14.39 
bel aire restaurant diner,0 egg omelettes,italian omelette,sausage peppers onions and mozzarella cheese,$13.19 
bel aire restaurant diner,0 egg omelettes,hangover omelette,ground beef steak fries all the cheese topped with gravy,$15.99 
bel aire restaurant diner,breakfast skillet,country style skillet,home fries ham bacon sausage roasted peppers and 0 eggs,$14.69 
bel aire restaurant diner,breakfast sandwiches,bacon and egg sandwich,0 eggs with bacon on a roll don t forget the cheese,$5.29 
bel aire restaurant diner,breakfast sandwiches,0 eggs breakfast wrap,first 0 ingredients of your choice are on us spicy,$11.59 
bel aire restaurant diner,breakfast sandwiches,classic monte cristo,grilled ham warm turkey melted swiss cheese served open faced on challah bread,$12.59 
bel aire restaurant diner,breakfast sandwiches,california tofu breakfast,grilled tofu baby spinach sliced tomato and guacamole served on a brioche bun,$10.49 
bel aire restaurant diner,breakfast sandwiches,not your average breakfast sammy,fried prosciutto muenster 0 eggs and buttery brioche,$8.39 
bel aire restaurant diner,breakfast sandwiches,western sandwich,0 eggs mixed with ham peppers and onions,$5.29 
bel aire restaurant diner,breakfast sandwiches,fried egg sandwich,0 eggs on a roll,$4.19 
bel aire restaurant diner,breakfast sandwiches,loaded breakfast sandwich,0 eggs bacon ham sausage mozzarella and american cheese served on a roll,$8.39 
bel aire restaurant diner,breakfast sandwiches,pancake sandwich,short stack of pancakes stuffed with 0 eggs peppers onions bacon and american cheese,$10.49 
bel aire restaurant diner,breakfast sandwiches,bruschetta breakfast sandwich,tomatoes basil fresh mozzarella and 0 eggs on a garlic roll,$6.29 
bel aire restaurant diner,breakfast sandwiches,cheese destruction,0 eggs muenster american mozzarella and cheddar on a grilled roll,$6.39 
bel aire restaurant diner,breakfast sandwiches,chili trainwreck,0 eggs chili cheddar mozzarella and home fries and on a toasted hero,$10.49 
bel aire restaurant diner,pancakes,pancakes,0 homemade pancakes served with warm syrup,$9.49 
bel aire restaurant diner,pancakes,short stack pancakes,0 homemade pancakes served with warm syrup,$7.49 
bel aire restaurant diner,pancakes,red velvet pancakes,red velvet pancakes topped with cream cheese frosting,$13.69 
bel aire restaurant diner,pancakes,silver dollar pancakes,same delicious batter but bite sized,$10.49 
bel aire restaurant diner,pancakes,give me s more cakes,stuffed with chocolate chips graham crackers and marshmallows,$11.89 
bel aire restaurant diner,pancakes,healthy fruity whole grain pancakes,whole wheat banana pancakes topped with fruit salad,$13.79 
bel aire restaurant diner,pancakes,gluten free pancakes,made with a better of banana oatmeal and egg topped with fresh berries,$13.79 
bel aire restaurant diner,waffles and french toast,homemade waffle,made fresh every morning served with warm syrup,$9.49 
bel aire restaurant diner,waffles and french toast,chicken waffles,classic homemade waffle topped with 0 0 a fried chicken,$16.99 
bel aire restaurant diner,waffles and french toast,waffle bowl,corned beef hash topped with 0 over easy eggs and served in a bowl lined with our homemade waffle,$14.79 
bel aire restaurant diner,waffles and french toast,bacon waffles,our classic waffle stuffed with bacon bits,$11.49 
bel aire restaurant diner,waffles and french toast,usa waffle,topped with strawberry preserves blueberry preserves and coconut,$11.99 
bel aire restaurant diner,waffles and french toast,jumbo challah french toast,thick cut house baked challah bread dipped in a delicious batter,$9.49 
bel aire restaurant diner,waffles and french toast,old fashioned french toast,0 slices of white bread dipped in a delicious batter,$9.49 
bel aire restaurant diner,waffles and french toast,deep fried french toast sticks,our homemade french toast cut into sticks deep fried and then rolled with cinnamon sugar,$8.09 
bel aire restaurant diner,waffles and french toast,chocolate banana pb and j french toast,old fashioned french toast stuffed with peanut butter jelly and bananas,$12.89 
bel aire restaurant diner,waffles and french toast,carmapple brioche,0 dipped brioche buns topped with cinnamon apple preserves walnuts and caramel sauce,$11.99 
bel aire restaurant diner,continental breakfast and bagel box,oatmeal,plain but top it how you like,$3.99 
bel aire restaurant diner,continental breakfast and bagel box,sweet and salty loaded oatmeal,bacon brown sugar greek yogurt and blueberries,$8.39 
bel aire restaurant diner,continental breakfast and bagel box,homemade muffin,choice of blueberry corn bran apple carrot and chocolate chip,$2.99 
bel aire restaurant diner,continental breakfast and bagel box,cold cereal,choice of froot loops special k corn flakes frosted flakes rice krispies and cheerios,$3.99 
bel aire restaurant diner,continental breakfast and bagel box,banana nut oatmeal,banana brown sugar almonds walnuts and raisins,$7.39 
bel aire restaurant diner,continental breakfast and bagel box,toasted bagel,add cream cheese and lox for an additional charge,$1.99 
bel aire restaurant diner,continental breakfast and bagel box,toasted bagel all the way,,$13.99 
bel aire restaurant diner,appetizers,jalapeno poppers,stuffed with cheddar cheese and served with sour cream,$9.89 
bel aire restaurant diner,appetizers,zucchini sticks,italian battered zucchini sticks,$8.29 
bel aire restaurant diner,appetizers,chicken fingers,chicken tenderloins served with honey mustard add fries for an additional charge,$9.89 
bel aire restaurant diner,appetizers,corn fritters,delicious bites stuffed with creamed corn,$8.99 
bel aire restaurant diner,appetizers,potato skins,stuffed with your choice of broccoli or bacon and topped with cheddar cheese,$8.99 
bel aire restaurant diner,appetizers,cheese destruction fries,layers of cheese everywhere all of the cheese,$9.49 
bel aire restaurant diner,appetizers,bel aire tater tots,tater tots topped with bacon muenster cheese and gravy,$8.39 
bel aire restaurant diner,appetizers,homemade onions rings,battered and dipped in panko breadcrumbs,$6.49 
bel aire restaurant diner,appetizers,homemade mozzarella stix,made on premises and served with marinara,$8.39 
bel aire restaurant diner,appetizers,bbq ribs,0 slow cooked ribs smothered with bbq,$9.99 
bel aire restaurant diner,appetizers,potato pancakes,old fashioned potato pancakes,$7.19 
bel aire restaurant diner,appetizers,mac and cheese bites,deliciously stuffed with mac and cheese,$9.69 
bel aire restaurant diner,appetizers,loaded baked potato,topped with chili cheddar and scallions served with sour cream,$8.99 
bel aire restaurant diner,appetizers,pick 0 combo,choice of 0,$16.99 
bel aire restaurant diner,appetizers,0 piece wings,choose your style flavor and dipping sauce,$11.39 
bel aire restaurant diner,appetizers,0 piece wings,,$20.69 
bel aire restaurant diner,greek appetizers,saganaki,battered and fried kefalograviera cheese served with toasted pita,$12.99 
bel aire restaurant diner,greek appetizers,greek antipasto,spanakopita moussaka pastitsio and tsatsiki served with toasted pita,$20.99 
bel aire restaurant diner,greek appetizers,greek fries,crispy steak fries topped with olive oil feta cheese tomatoes and oregano gluten free,$8.99 
bel aire restaurant diner,greek appetizers,spanakopita,homemade spinach pie add a salad and make it an entree for an additional charge,$10.19 
bel aire restaurant diner,greek appetizers,tzatsiki,our homemade yogurt sauce flavored with cucumbers and garlic served with a toasted pita,$6.99 
bel aire restaurant diner,greek appetizers,dolmades,stuffed vegetarian grape leaves served with toasted pita,$6.09 
bel aire restaurant diner,seafood appetizers,stuffed mushrooms appetizer,stuffed with our homemade seafood stuffing,$11.59 
bel aire restaurant diner,seafood appetizers,charred octopus,served with olive oil and lemon,$19.99 
bel aire restaurant diner,seafood appetizers,grilled calamari,marinated overnight and then grilled with peppers onions and tomatoes,$14.49 
bel aire restaurant diner,seafood appetizers,fried calamari,marinated overnight and hand floured served with lemon and marinara sauce,$13.49 
bel aire restaurant diner,seafood appetizers,bang bang shrimp,popcorn shrimp in a sweet thai chili sauce topped with scallions,$11.99 
bel aire restaurant diner,seafood appetizers,shrimp cocktail,0 shrimps served with cocktail dipping sauce,$11.39 
bel aire restaurant diner,seafood appetizers,shrimp bucket,over a 0 lb of shrimps 0 to be exact fried or steamed and served with our signature dipping sauce,$18.99 
bel aire restaurant diner,takeyourpick salads,stuffed tomato take your pick salad,served with choice of salad and decorated with cucumbers olives and peppers,$13.09 
bel aire restaurant diner,takeyourpick salads,salad platter take your pick,your choice of salad served with potato salad coleslaw hard boiled egg and garnish,$15.99 
bel aire restaurant diner,crispy cold salad,avocado and tomato salad,diced tomatoes diced avocado red onions cucumbers and cilantro recommended with homemade ranch,$9.19 
bel aire restaurant diner,crispy cold salad,bluefish herb salad,broiled bluefish baby spinach parsley scallions oregano roasted red peppers and grilled zucchini recommended with house vinaigrette,$12.59 
bel aire restaurant diner,crispy cold salad,quiche lorraine salad,stuffed with ham mushrooms and cheese then baked into a pie crust and served with greek salad not gluten free,$15.99 
bel aire restaurant diner,crispy cold salad,wedge salad,a wedge of iceberg lettuce topped with homemade blue cheese dressing tomatoes bacon bits scallions and bleu cheese crumbles,$9.09 
bel aire restaurant diner,crispy cold salad,bison burger burrito bowl salad,warm rice with tomatoes red onions corn black beans jalapenos cilantro and avocado topped with a bison burger,$15.79 
bel aire restaurant diner,crispy cold salad,traditional horiatiki salad,diced tomatoes cucumbers red onions olives feta green peppers and oregano recommended with house vinaigrette,$8.19 
bel aire restaurant diner,crispy cold salad,roma salad,romaine lettuce roasted red peppers tomatoes red onions and fresh mozzarella recommended with oil and vinegar,$7.59 
bel aire restaurant diner,crispy cold salad,build your own salad,start with romaine fresh spinach iceberg quinoa or mixed greens,$6.79 
bel aire restaurant diner,crispy cold salad,caesar salad,chunks romaine lettuce seasoned croutons and grated parmesan cheese tossed with homemade caesar dressings gluten free without croutons,$6.79 
bel aire restaurant diner,crispy cold salad,classic cobb salad,topped with crumbled bleu cheese avocado bacon bits corn and hard boiled eggs recommended with homemade bleu cheese,$9.99 
bel aire restaurant diner,crispy cold salad,grilled portobello mushroom salad,topped with artichokes roasted tomatoes red onions olives grilled portabello mushrooms and red pepper,$11.39 
bel aire restaurant diner,crispy cold salad,chickpea garbanzo salad,chickpea garbanzo beans tossed with arugula diced tomatoes red onions parsley and topped with goat cheese recommended with house vinaigrette,$9.19 
bel aire restaurant diner,crispy cold salad,very berry salad,romaine lettuce topped with blueberries strawberries walnuts and feta recommended with fat free raspberry vinaigrette,$9.19 
bel aire restaurant diner,crispy cold salad,ionian salad,grilled chicken served on a bed of grilled zucchini carrots green peppers mushrooms and onions no greens,$14.69 
bel aire restaurant diner,crispy cold salad,soup and salad combo,any vegetarian salad no meat on it and a cup of soup served with homemade challah bread gluten free without bread,$13.09 
bel aire restaurant diner,crispy cold salad,garden salad,topped with tomatoes onions cucumber fresh broccoli mushrooms and carrots recommended with homemade ranch,$6.89 
bel aire restaurant diner,crispy cold salad,greek salad,topped with imported feta cheese anchovy filet olives onions peppers dolmades stuffed grape leaves tomatoes oregano and cucumbers recommended with house vinaigrette,$9.19 
bel aire restaurant diner,crispy cold salad,waldorf salad,topped with walnuts raisins sliced apples and grilled chicken breast recommended with raspberry vinaigrette,$14.39 
bel aire restaurant diner,crispy cold salad,chef s salad,topped with turkey roast beef boiled ham muenster cheese hard boiled egg tomato and cucumber recommended with homemade ranch,$12.59 
bel aire restaurant diner,crispy cold salad,best beet salad,sliced beets tossed with arugula walnuts and goat cheese recommended with olive oil and vinegar,$11.39 
bel aire restaurant diner,crispy cold salad,island salad,topped with tomatoes cucumbers artichokes red peppers feta cheese and olives recommended with house vinaigrette,$9.09 
bel aire restaurant diner,crispy cold salad,popeye salad,fresh spinach topped with bacon bits hard boiled egg tomatoes artichokes mushrooms and seasoned croutons gluten free without croutons,$10.79 
bel aire restaurant diner,quinoa salad,southwestern salad,quinoa topped with black beans red onions corn cilantro tomatoes jalapeno avocado and decorated with tortilla chips recommended with house vinaigrette,$8.29 
bel aire restaurant diner,quinoa salad,belt avocado salad,tossed with bacon bits avocado tomatoes shredded romaine lettuce hard boiled egg and seasoned croutons gluten free without croutons,$8.39 
bel aire restaurant diner,quinoa salad,quinoa tabouleh salad,tossed with diced tomatoes cucumbers red onions parsley cilantro and scallions recommended with olive oil and vinegar,$8.29 
bel aire restaurant diner,quinoa salad,mediterranean salad,tossed with tomatoes cucumbers chickpeas olives oregano peppers red onions and feta recommended with house vinaigrette,$9.39 
bel aire restaurant diner,charred burgers,barbecue burger,topped with bbq sauce bacon and fried onions,$9.59 
bel aire restaurant diner,charred burgers,deluxe barbecue burger,topped with bbq sauce bacon and fried onions served with french fries,$13.79 
bel aire restaurant diner,charred burgers,mexican burger,topped with jalapenos and cheddar,$8.89 
bel aire restaurant diner,charred burgers,deluxe mexican burger,topped with jalapenos and cheddar served with french fries,$13.09 
bel aire restaurant diner,charred burgers,pizza burger,topped with mozzarella cheese and homemade marinara sauce,$8.89 
bel aire restaurant diner,charred burgers,deluxe pizza burger,topped with mozzarella cheese and homemade marinara sauce served with french fries,$13.09 
bel aire restaurant diner,charred burgers,cheese destruction burger,muenster american cheddar and mozzarella,$9.99 
bel aire restaurant diner,charred burgers,deluxe cheese destruction burger,muenster american cheddar and mozzarella served with french fries,$14.19 
bel aire restaurant diner,charred burgers,broadway burger,grilled peppers grilled onions and mushrooms,$9.29 
bel aire restaurant diner,charred burgers,deluxe broadway burger,grilled peppers grilled onions and mushrooms served with french fries,$13.49 
bel aire restaurant diner,charred burgers,jumbo california vegan burger,vegan patty topped with lettuce tomato and onion served on a toasted bun,$8.09 
bel aire restaurant diner,charred burgers,sweet sriracha bison burger,cooked to your liking topped with grilled pineapple sriracha sauce maple bacon with thai chili tots,$18.29 
bel aire restaurant diner,charred burgers,cobb burger,bacon bleu cheese and avocado on brioche,$11.39 
bel aire restaurant diner,charred burgers,deluxe cobb burger,bacon bleu cheese and avocado on brioche served with french fries,$15.59 
bel aire restaurant diner,charred burgers,italiano burger,topped with roasted peppers and mozzarella cheese on a garlic roll served with garlic parmesan steak fries,$15.79 
bel aire restaurant diner,charred burgers,pulled pork burger,topped with pulled pork and fronions served on a kaiser roll with cajun steak fries,$16.39 
bel aire restaurant diner,charred burgers,gorilla burger,burger patty on 0 grilled cheeses with bacon and grilled tomatoes served with cajun mozzarella steak fries,$23.29 
bel aire restaurant diner,charred burgers,burger melt,served on grilled sourdough rye bread topped with fried onions and cheddar,$8.89 
bel aire restaurant diner,charred burgers,deluxe burger melt,served on grilled sourdough rye bread topped with fried onions and cheddar served with french fries,$13.09 
bel aire restaurant diner,charred burgers,bacon cheese burger,0 oz burger patty topped with your choice of cheese and bacon,$9.99 
bel aire restaurant diner,charred burgers,deluxe bacon cheese burger,0 oz burger patty topped with your choice of cheese and bacon served with french fries,$14.19 
bel aire restaurant diner,charred burgers,bacon mac and cheese burger,topped with homemade mac and cheese and bacon,$10.29 
bel aire restaurant diner,charred burgers,deluxe bacon mac and cheese burger,topped with homemade mac and cheese and bacon served with french fries,$14.49 
bel aire restaurant diner,charred burgers,burger bar build your own burger,,$8.09 
bel aire restaurant diner,charred burgers,deluxe burger bar build your own burger,served with french fries,$12.29 
bel aire restaurant diner,belaire chicken sandwiches,classic bel aire sandwich,marinated grilled chicken breast served on a brioche bun,$13.39 
bel aire restaurant diner,belaire chicken sandwiches,parmigiana bel aire sandwich,breaded chicken cutlet mozzarella cheese homemade marinara sauce served on a hero,$15.59 
bel aire restaurant diner,belaire chicken sandwiches,italiano bel aire sandwich,grilled chicken roasted peppers mozzarella and tomatoes on a garlic bread,$15.99 
bel aire restaurant diner,belaire chicken sandwiches,teriyaki bel aire sandwich,grilled chicken mozzarella lettuce tomatoes and teriyaki in a wrap,$15.19 
bel aire restaurant diner,belaire chicken sandwiches,cobb bel aire sandwich,grilled chicken avocado bleu cheese and lettuce in a wrap,$15.99 
bel aire restaurant diner,belaire chicken sandwiches,caesar bel aire sandwich,grilled chicken romaine grated cheese and caesar dressing in a wrap,$15.59 
bel aire restaurant diner,belaire chicken sandwiches,greek bel aire sandwich,grilled chicken feta cheese olives cucumbers and romaine lettuce served in a toasted pita,$16.09 
bel aire restaurant diner,belaire chicken sandwiches,riverview bel aire sandwich,grilled chicken with bacon and melted cheddar on a brioche bun,$15.59 
bel aire restaurant diner,belaire chicken sandwiches,southwestern bel aire sandwich,grilled chicken black bean cheddar cheese guacamole and cilantro in a wrap,$16.19 
bel aire restaurant diner,belaire chicken sandwiches,monster bel aire sandwich,grilled chicken fried onions grilled mushrooms and muenster cheese served on a roll,$15.49 
bel aire restaurant diner,belaire chicken sandwiches,chicken fajita bel aire sandwich,grilled chicken red peppers green peppers red onions onions and avocado in a wrap,$16.39 
bel aire restaurant diner,belaire chicken sandwiches,tex mex bel aire sandwich,grilled chicken mozzarella lettuce tomato and salsa on a roll,$15.19 
bel aire restaurant diner,belaire chicken sandwiches,bbq bacon ranch bel aire sandwich,grilled chicken bacon bbq sauce ranch dressing red onions and muenster cheese served on brioche,$16.29 
bel aire restaurant diner,belaire chicken sandwiches,southern comfort bel aire sandwich,fried chicken cutlet coleslaw bbq sauce and pickles served on a roll,$15.29 
bel aire restaurant diner,loaded hot dogs,ballpark dog,topped with homemade chili and fronions,$9.69 
bel aire restaurant diner,loaded hot dogs,mac and cheese dog,topped with homemade mac and cheese,$8.49 
bel aire restaurant diner,loaded hot dogs,pulled dog,topped with pulled pork coleslaw and red onions,$9.79 
bel aire restaurant diner,loaded hot dogs,plain hot dog,as many hot dogs as you would like,$3.19 
bel aire restaurant diner,loaded hot dogs,surf dog,topped with grilled pineapple ham red peppers and onions,$8.69 
bel aire restaurant diner,loaded hot dogs,bruschetta dog,topped with tomato basil and grated cheese on a garlic bun,$7.69 
bel aire restaurant diner,loaded hot dogs,franks and beans,0 hot dogs on a bed of baked beans,$11.59 
bel aire restaurant diner,cold sandwiches,shrimp and avocado sandwich,shrimp salad topped with avocado basil tomatoes and scallions served in a wrap,$11.89 
bel aire restaurant diner,cold sandwiches,ham and cheese sandwich,thinly sliced boiled ham and american cheese topped with lettuce and tomato served on a roll,$8.09 
bel aire restaurant diner,cold sandwiches,classic blt sandwich,bacon lettuce and tomato served on thick white toast,$5.99 
bel aire restaurant diner,cold sandwiches,tuna milanese,tuna salad topped with tomatoes arugula olives red onions and balsamic glaze served on a roll,$9.59 
bel aire restaurant diner,cold sandwiches,homemade salad sandwich tuna egg chicken or shrimp salad,choice of protein piled high on your choice of bread and topped with lettuce and tomato served on toast,$7.49 
bel aire restaurant diner,cold sandwiches,bbq bacon chicken salad sandwich,chicken salad topped with bbq sauce fronions and bacon served on thick white toast,$9.59 
bel aire restaurant diner,cold sandwiches,french shrimp salad sandwich,shrimp salad with grilled asparagus and arugula on a toasted croissant,$10.19 
bel aire restaurant diner,cold sandwiches,mediterranean tuna sandwich,tuna salad mixed with feta and olives topped with tomatoes and baby spinach on a toasted pita,$9.59 
bel aire restaurant diner,get your grilled cheese fix,classic diner grilled cheese sandwich,your preferred cheese on grilled white bread add bacon for an additional charge,$5.99 
bel aire restaurant diner,get your grilled cheese fix,strawberry avocado and cheddar sandwich,freshly sliced strawberries sliced avocado and cheddar cheese on grilled sourdough rye,$8.29 
bel aire restaurant diner,get your grilled cheese fix,bacon apple and muenster sandwich,thinly sliced red delicious apples bacon and muenster cheese on grilled sourdough rye bread,$7.29 
bel aire restaurant diner,get your grilled cheese fix,loaded mac and cheese sandwich,macaroni and cheese bacon american cheese and cheddar on a grilled hero,$11.39 
bel aire restaurant diner,vegan and vegetarian specialties,bbq tofu sandwich special,sliced and grilled tofu topped with fronions bbq sauce and jalapenos on a hero served with a tossed salad,$15.19 
bel aire restaurant diner,vegan and vegetarian specialties,0 vegetable stir fry special,zucchini red onions carrots cabbage and red peppers light soy sauce and over rice gluten free,$15.39 
bel aire restaurant diner,vegan and vegetarian specialties,vegetarian philly special,grilled tofu peppers onions and mushrooms topped with cheddar cheese and served on a garlic hero,$11.29 
bel aire restaurant diner,vegan and vegetarian specialties,portobello sandwich special,portobello mushrooms roasted tomatoes red peppers mozzarella and romaine lettuce on a roll served with steak fries,$15.99 
bel aire restaurant diner,vegan and vegetarian specialties,mediterranean sandwich,grilled peppers tomatoes and onions with melted mozzarella cheese on garlic roll served with steak fries,$15.59 
bel aire restaurant diner,vegan and vegetarian specialties,grilled vegetable platter special,zucchini carrots tomatoes and mixed peppers with goat cheese gluten free,$16.09 
bel aire restaurant diner,vegan and vegetarian specialties,roasted veggie wrap special,stuffed with grilled tomatoes onions mushrooms peppers and fresh spinach topped with a balsamic glaze,$10.69 
bel aire restaurant diner,vegan and vegetarian specialties,tlat sandwich special,grilled tofu lettuce tomato and avocado on a toasted roll add tossed salad for an additional charge,$10.29 
bel aire restaurant diner,carving board sandwiches,philly cheese steak sandwich,grilled roast beef mushrooms onions and cheddar cheese served on a hero,$16.69 
bel aire restaurant diner,carving board sandwiches,reuben sandwich,your choice of turkey corned beef or pastrami over sauerkraut topped with melted swiss cheese and served open face on grilled rye bread,$15.29 
bel aire restaurant diner,carving board sandwiches,pastrami sandwich,piled high and served on rye toast,$13.49 
bel aire restaurant diner,carving board sandwiches,corned beef sandwich,piled high and served on rye toast,$13.49 
bel aire restaurant diner,carving board sandwiches,brooklyn avenue sandwich,grilled pastrami coleslaw and pickles topped with mozzarella cheese and russian dressing served on a roll,$14.59 
bel aire restaurant diner,carving board sandwiches,roasted turkey sandwich,cooked in house sliced and piled high on a brioche,$13.59 
bel aire restaurant diner,carving board sandwiches,roast beef sandwich,cooked in house sliced and piled high on a brioche,$13.59 
bel aire restaurant diner,carving board sandwiches,astoria heights sandwich,grilled roast beef fried onions and bbq sauce served on a hero,$14.59 
